ID_Cliente;N01_Zona;N02_País;N03_Tipodeproducto;N04_Canaldeventa;N05_Prioridad;N06_Fechapedido;ID_Pedido;N07_Fechaenvío;N08_Unidades;N09_PrecioUnitario;N10_Costeunitario;N11_Importeventatotal;N12_ImporteCostetotal
C4617;Asia;Bhutan;Cosméticos;Offline;Crítica;12/01/2021;461794698;22/01/2021;4168;437;263;1822250;1097559
C5754;Centroamérica y Caribe;Cuba;Ropa;Offline;Alta;02/12/2021;575428092;10/12/2021;815;109;36;89063;29210
C5479;Norteamérica;Mexico;Alimento infantil;Online;Media;25/09/2022;547955834;09/10/2022;1163;255;159;296891;185405
C9388;África;Cote d'Ivoire;Bebida;Online;Media;01/07/2020;938801753;12/07/2020;1156;47;32;54852;36749
C1277;África;Nigeria;Cereales;Offline;Alta;20/03/2021;127702176;02/05/2021;8767;206;117;1803372;1026703
C1647;Australia y Oceanía;Vanuatu;Material de oficina;Offline;Alta;17/04/2021;164705932;31/05/2021;9000;651;525;5860890;4724640
C9201;África;Kuwait;Verduras;Offline;Baja;20/05/2020;920174348;30/05/2020;8893;154;91;1370056;808640
C5347;África;Namibia;Cárnicos;Offline;Media;03/11/2022;534781253;30/11/2022;2512;422;365;1059788;916101
C3695;África;Egypt;Verduras;Online;Baja;25/12/2021;369512975;05/02/2022;5955;154;91;917427;541488
C9556;África;Swaziland;Frutas;Offline;Crítica;15/07/2021;955668342;26/08/2021;2354;9;7;21963;16290
C6448;Centroamérica y Caribe;Antigua and Barbuda ;Cárnicos;Offline;Crítica;08/10/2022;644858682;04/11/2022;6869;422;365;2897962;2505056
C5590;Asia;Sri Lanka;Verduras;Offline;Alta;15/03/2020;559007823;18/04/2020;1692;154;91;260670;153854
C5403;Europa;Liechtenstein;Bebida;Offline;Media;15/03/2020;540352094;30/03/2020;1047;47;32;49680;33284
C5014;África;Angola;Material de oficina;Online;Crítica;20/05/2022;501440322;30/05/2022;6189;651;525;4030339;3248977
C8751;Asia;Brunei;Doméstico;Offline;Crítica;16/01/2021;875133836;06/02/2021;404;668;503;269981;203026
C3646;Australia y Oceanía;Samoa ;Ropa;Offline;Crítica;23/11/2020;364606463;02/01/2021;4010;109;36;438213;143718
C8933;Australia y Oceanía;Marshall Islands;Frutas;Online;Baja;30/04/2021;893344533;20/05/2021;9354;9;7;87273;64730
C8551;África;Democratic Republic of the Congo;Frutas;Online;Crítica;15/09/2020;855146872;20/09/2020;5818;9;7;54282;40261
C9641;Australia y Oceanía;Tonga;Cosméticos;Online;Crítica;30/08/2020;964124810;31/08/2020;4811;437;263;2103369;1266881
C2047;África;Mozambique;Snacks;Offline;Crítica;15/10/2021;204702174;17/10/2021;4777;153;97;728875;465471
C7816;África;Kuwait;Cárnicos;Online;Media;25/03/2022;781615293;10/04/2022;6189;422;365;2611077;2257066
C4699;Europa;Romania;Bebida;Offline;Alta;16/12/2021;469912993;22/01/2022;6552;47;32;310892;208288
C2649;África;South Sudan;Cosméticos;Online;Crítica;09/05/2021;264956605;04/06/2021;5402;437;263;2361754;1422509
C3324;Asia;Malaysia;Snacks;Offline;Crítica;13/08/2022;332419955;12/09/2022;9307;153;97;1420062;906874
C4582;Centroamérica y Caribe;Costa Rica;Snacks;Offline;Media;22/08/2022;458289372;30/08/2022;6864;153;97;1047309;668828
C4988;Europa;Croatia;Cuidado personal;Online;Alta;25/02/2020;498863685;08/03/2020;3705;82;57;302810;209962
C8307;Asia;Nepal;Bebida;Offline;Baja;05/11/2022;830754220;07/11/2022;7490;47;32;355401;238107
C1008;Asia;Tajikistan;Alimento infantil;Online;Alta;01/04/2020;100884807;30/04/2020;2911;255;159;743120;464072
C1764;Europa;Serbia;Cárnicos;Offline;Alta;17/04/2022;176491773;24/04/2022;6692;422;365;2823288;2440505
C2951;África;Angola;Cárnicos;Offline;Baja;25/09/2020;295123946;03/11/2020;2589;422;365;1092273;944182
C2146;Asia;Japan;Cuidado personal;Online;Baja;07/01/2022;214642655;14/02/2022;6386;82;57;521928;361895
C6632;Europa;Iceland;Cárnicos;Online;Media;21/02/2020;663221728;01/03/2020;903;422;365;380967;329315
C1893;Europa;Cyprus;Ropa;Offline;Media;02/12/2020;189347493;21/12/2020;986;109;36;107750;35338
C1118;Australia y Oceanía;East Timor;Bebida;Offline;Alta;30/07/2020;111818778;23/08/2020;8516;47;32;404084;270724
C4697;Asia;Tajikistan;Material de oficina;Online;Baja;17/06/2021;469746911;28/07/2021;7405;651;525;4822210;3887329
C4725;África;Somalia;Doméstico;Online;Crítica;07/01/2022;472555720;03/02/2022;8594;668;503;5743112;4318829
C7499;Europa;Spain;Ropa;Offline;Alta;09/02/2021;749981534;11/02/2021;5057;109;36;552629;181243
C2020;Europa;Sweden;Cereales;Online;Crítica;12/04/2022;202073180;08/05/2022;6799;206;117;1398554;796231
C9491;África;Ethiopia;Doméstico;Offline;Baja;26/11/2020;949191987;15/12/2020;5857;668;503;3914057;2943377
C6820;Asia;Turkmenistan;Cuidado personal;Offline;Baja;04/10/2022;682011783;14/11/2022;1297;82;57;106004;73501
C3115;Europa;Malta;Ropa;Online;Baja;06/08/2022;311518895;21/08/2022;4219;109;36;461052;151209
C8190;África;Malawi;Cosméticos;Offline;Baja;16/09/2022;819012153;18/09/2022;2751;437;263;1202737;724421
C1061;Europa;Czech Republic;Material de oficina;Offline;Crítica;29/01/2020;106102883;28/02/2020;7056;651;525;4594938;3704118
C6447;Europa;Netherlands;Cárnicos;Offline;Media;03/02/2022;644714915;10/02/2022;4325;422;365;1824674;1577284
C9270;Europa;Sweden;Bebida;Offline;Baja;02/04/2022;927084577;16/04/2022;3783;47;32;179503;120262
C4157;África;Saudi Arabia;Verduras;Online;Crítica;06/08/2021;415760695;18/08/2021;1684;154;91;259437;153126
C8936;África;Turkey;Cereales;Online;Media;29/07/2021;893604600;29/08/2021;6314;206;117;1298790;739433
C6137;Centroamérica y Caribe;Dominican Republic;Ropa;Offline;Baja;12/08/2022;613790118;18/09/2022;2991;109;36;326856;107197
C1498;Asia;Uzbekistan;Cuidado personal;Offline;Alta;31/08/2022;149803578;07/09/2022;9063;82;57;740719;513600
C1454;África;Kuwait;Snacks;Offline;Media;14/07/2021;145443809;26/07/2021;8910;153;97;1359488;868190
C8648;Australia y Oceanía;Federated States of Micronesia;Ropa;Offline;Crítica;09/04/2022;864822137;11/05/2022;8943;109;36;977291;320517
C8423;Australia y Oceanía;Samoa ;Material de oficina;Online;Alta;10/03/2021;842362391;14/04/2021;2606;651;525;1697053;1368046
C9328;África;Eritrea;Snacks;Online;Baja;18/09/2020;932800900;21/09/2020;5370;153;97;819355;523253
C2611;Asia;Singapore;Alimento infantil;Online;Alta;03/04/2022;261186492;13/04/2022;9742;255;159;2486938;1553070
C2728;África;Mauritania;Doméstico;Offline;Media;23/11/2021;272880494;31/12/2021;257;668;503;171745;129153
C6835;Asia;Bhutan;Ropa;Online;Alta;30/05/2020;683556735;08/06/2020;8483;109;36;927022;304031
C8292;África;Republic of the Congo;Bebida;Online;Baja;05/11/2021;829201543;15/11/2021;8018;47;32;380454;254892
C1161;Europa;Germany;Bebida;Online;Media;18/08/2020;116113746;01/09/2020;9493;47;32;450443;301782
C2709;África;Tunisia ;Cereales;Offline;Media;06/03/2020;270904672;14/03/2020;5567;206;117;1145132;651951
C3904;Asia;Myanmar;Cereales;Offline;Media;07/01/2020;390498149;26/01/2020;5935;206;117;1220830;695048
C9921;Europa;Romania;Cosméticos;Offline;Media;28/01/2020;992130506;03/03/2020;2319;437;263;1013867;610662
C8633;Europa;Greece;Snacks;Offline;Crítica;10/02/2022;863350570;14/03/2022;3474;153;97;530063;338507
C2120;África;Benin;Cosméticos;Offline;Baja;28/07/2022;212019670;29/07/2022;187;437;263;81756;49243
C2163;Centroamérica y Caribe;Jamaica;Material de oficina;Online;Crítica;05/08/2022;216311633;27/08/2022;274;651;525;178432;143839
C7747;Europa;Liechtenstein;Doméstico;Online;Alta;06/11/2020;774712789;11/12/2020;3585;668;503;2395748;1801606
C9560;Norteamérica;Greenland;Alimento infantil;Online;Crítica;17/09/2020;956021964;08/10/2020;6999;255;159;1786705;1115781
C3493;Europa;Romania;Cosméticos;Online;Alta;26/03/2020;349350488;19/04/2020;9428;437;263;4121922;2482675
C4141;Asia;China;Cosméticos;Online;Alta;26/02/2022;414122188;23/03/2022;6813;437;263;2978644;1794067
C4300;Australia y Oceanía;East Timor;Doméstico;Offline;Baja;17/01/2021;430073392;05/02/2021;7129;668;503;4764097;3582608
C6472;Europa;Albania;Cuidado personal;Online;Media;18/11/2021;647252929;28/12/2021;5380;82;57;439707;304885
C9360;Asia;Laos;Frutas;Offline;Alta;20/06/2021;936022126;24/07/2021;8602;9;7;80257;59526
C3370;África;Central African Republic;Material de oficina;Offline;Baja;17/04/2021;337054812;24/05/2021;864;651;525;562645;453565
C2113;Europa;Netherlands;Cárnicos;Offline;Crítica;24/05/2020;211337316;08/07/2020;8263;422;365;3486077;3013433
C1901;Australia y Oceanía;Solomon Islands;Snacks;Offline;Media;30/06/2022;190168464;15/08/2022;3929;153;97;599487;382842
C4251;África;Seychelles ;Ropa;Offline;Media;16/04/2020;425159585;26/05/2020;3024;109;36;330463;108380
C2382;Asia;Kazakhstan;Cárnicos;Online;Baja;07/08/2022;238234508;21/08/2022;7740;422;365;3265429;2822701
C3716;Europa;Hungary;Cosméticos;Offline;Alta;26/06/2021;371629559;16/07/2021;2300;437;263;1005560;605659
C7378;Asia;Laos;Alimento infantil;Offline;Baja;13/04/2022;737893569;30/05/2022;7960;255;159;2032029;1268983
C8698;África;Yemen;Ropa;Online;Crítica;25/02/2022;869887864;15/04/2022;8005;109;36;874786;286899
C3707;Europa;Russia;Cuidado personal;Offline;Alta;01/02/2020;370786273;16/02/2020;2753;82;57;225003;156013
C2640;Asia;Philippines;Cereales;Offline;Alta;10/03/2021;264075124;11/03/2021;4552;206;117;936346;533085
C7435;Australia y Oceanía;Marshall Islands;Frutas;Online;Baja;22/12/2020;743553245;22/12/2020;2783;9;7;25965;19258
C7233;África;Burkina Faso;Cuidado personal;Online;Crítica;24/01/2021;723331964;11/02/2021;8857;82;57;723883;501926
C9878;Europa;Kosovo;Snacks;Offline;Media;23/01/2022;987835109;13/03/2022;1215;153;97;185385;118390
C1417;Asia;North Korea;Material de oficina;Offline;Alta;07/02/2022;141799008;28/03/2022;333;651;525;216853;174812
C4602;Asia;Bhutan;Snacks;Online;Alta;01/03/2021;460272490;16/03/2021;3713;153;97;566530;361795
C2386;Europa;Switzerland;Material de oficina;Offline;Media;25/06/2022;238616883;02/07/2022;893;651;525;581531;468789
C5425;África;Libya;Cuidado personal;Offline;Alta;17/07/2022;542506015;07/08/2022;8440;82;57;689801;478295
C2579;Centroamérica y Caribe;Honduras;Verduras;Online;Alta;04/02/2021;257926213;23/02/2021;4953;154;91;763059;450376
C1411;África;Benin;Alimento infantil;Online;Media;02/08/2022;141176307;20/09/2022;6061;255;159;1547252;966245
C5688;África;Egypt;Cárnicos;Online;Media;31/05/2020;568867623;22/06/2020;9426;422;365;3976735;3437568
C1879;Europa;Cyprus;Bebida;Online;Media;05/04/2021;187923991;17/05/2021;9740;47;32;462163;309635
C8655;África;Morocco;Cereales;Online;Alta;04/10/2020;865581738;23/10/2020;3726;206;117;766438;436352
C9393;Europa;Estonia;Bebida;Offline;Alta;08/02/2022;939389693;15/02/2022;5140;47;32;243893;163401
C1672;Asia;South Korea;Alimento infantil;Online;Crítica;24/04/2020;167209184;16/05/2020;9768;255;159;2493575;1557215
C1772;Asia;Vietnam;Cosméticos;Online;Media;20/10/2020;177214038;06/11/2020;427;437;263;186684;112442
C4178;África;Syria;Snacks;Offline;Alta;29/10/2020;417890584;06/11/2020;1965;153;97;299820;191470
C4080;Europa;Luxembourg;Ropa;Online;Baja;27/04/2022;408037650;27/04/2022;6263;109;36;684421;224466
C1867;Centroamérica y Caribe;Cuba;Cosméticos;Online;Alta;28/11/2021;186766564;12/12/2021;7232;437;263;3161830;1904403
C7635;Asia;Maldives;Cárnicos;Offline;Alta;27/11/2020;763501155;02/12/2020;5813;422;365;2452447;2119943
C9679;Asia;Taiwan;Bebida;Online;Media;10/01/2021;967977750;22/02/2021;4982;47;32;236396;158378
C6002;Europa;Bosnia and Herzegovina;Snacks;Offline;Crítica;07/02/2020;600245177;14/03/2020;4742;153;97;723534;462060
C8806;África;Afghanistan;Cosméticos;Offline;Baja;28/01/2022;880664765;03/02/2022;7129;437;263;3116799;1877280
C3999;Norteamérica;Canada;Cereales;Online;Media;20/04/2021;399910342;04/05/2021;1212;206;117;249308;141937
C9689;África;Qatar;Cárnicos;Offline;Media;04/02/2021;968968236;08/03/2021;8088;422;365;3412246;2949613
C8691;Europa;Malta;Verduras;Offline;Baja;24/11/2020;869137275;15/12/2020;5889;154;91;907259;535487
C7020;África;Bahrain;Verduras;Online;Crítica;19/07/2020;702028787;25/07/2020;4773;154;91;735328;434009
C2395;África;Zambia;Frutas;Offline;Baja;19/09/2021;239566600;20/09/2021;1935;9;7;18054;13390
C6739;Asia;Bangladesh;Ropa;Online;Crítica;05/10/2020;673987042;07/11/2020;6598;109;36;721029;236472
C5678;África;Egypt;Cárnicos;Offline;Media;01/08/2021;567838943;14/08/2021;5017;422;365;2116622;1829650
C8039;Asia;Japan;Ropa;Online;Crítica;09/10/2022;803983628;01/11/2022;5477;109;36;598527;196296
C5355;Centroamérica y Caribe;Jamaica;Cosméticos;Offline;Media;21/11/2021;535594928;17/12/2021;3296;437;263;1441011;867936
C3361;África;Namibia;Alimento infantil;Online;Media;14/08/2022;336159169;17/08/2022;5823;255;159;1486495;928303
C8494;Australia y Oceanía;Federated States of Micronesia;Cárnicos;Offline;Crítica;21/11/2021;849475181;12/12/2021;7438;422;365;3138018;2712564
C5396;África;Iran;Ropa;Offline;Media;06/10/2022;539654290;18/10/2022;4552;109;36;497443;163144
C6411;Asia;Malaysia;Cereales;Online;Alta;20/07/2021;641120326;03/09/2021;606;206;117;124654;70969
C2086;Asia;Tajikistan;Verduras;Offline;Crítica;04/09/2020;208609616;05/09/2020;1076;154;91;165769;97841
C1671;África;Iran;Cárnicos;Offline;Alta;20/07/2021;167170989;22/07/2021;8465;422;365;3571299;3087101
C1621;Australia y Oceanía;Samoa ;Cárnicos;Online;Crítica;03/04/2020;162165772;06/05/2020;7311;422;365;3084438;2666249
C8092;África;Botswana;Cosméticos;Online;Crítica;05/06/2020;809267795;20/06/2020;9179;437;263;4013059;2417106
C5444;Europa;Austria;Alimento infantil;Online;Crítica;22/05/2020;544463384;25/06/2020;7669;255;159;1957742;1222592
C5740;África;Syria;Bebida;Online;Alta;17/04/2020;574051368;01/05/2020;3411;47;32;161852;108436
C8246;África;Senegal;Frutas;Online;Crítica;10/09/2020;824643075;23/10/2020;9066;9;7;84586;62737
C3931;África;Mauritius ;Cuidado personal;Offline;Media;11/02/2021;393162333;29/03/2021;4326;82;57;353564;245154
C6968;África;Cote d'Ivoire;Frutas;Online;Alta;28/06/2021;696845471;08/07/2021;915;9;7;8537;6332
C5232;Centroamérica y Caribe;Belize;Ropa;Offline;Alta;18/09/2020;523241317;03/10/2020;7588;109;36;829217;271954
C9802;África;Morocco;Cereales;Offline;Baja;15/12/2020;980211198;15/12/2020;5131;206;117;1055447;600891
C5459;Australia y Oceanía;Australia;Doméstico;Online;Baja;27/06/2020;545928943;10/08/2020;1361;668;503;909515;683957
C9188;África;Senegal;Verduras;Online;Baja;05/11/2020;918880879;13/12/2020;6127;154;91;943926;557128
C2678;Centroamérica y Caribe;Antigua and Barbuda ;Verduras;Offline;Alta;18/07/2022;267865836;30/07/2022;6308;154;91;971810;573586
C8819;Europa;Poland;Material de oficina;Online;Alta;08/10/2020;881995141;20/10/2020;817;651;525;532039;428892
C6206;Europa;Kosovo;Cuidado personal;Online;Crítica;17/02/2021;620692622;06/03/2021;5595;82;57;457279;317069
C5636;Asia;Malaysia;Cárnicos;Online;Media;19/01/2021;563694608;11/02/2021;8616;422;365;3635004;3142169
C9610;Centroamérica y Caribe;Guatemala;Bebida;Online;Alta;26/08/2022;961049926;09/09/2022;4885;47;32;231793;155294
C7831;Australia y Oceanía;Vanuatu;Material de oficina;Online;Baja;24/09/2022;783119904;30/10/2022;1437;651;525;935789;754368
C8705;Centroamérica y Caribe;Nicaragua;Cuidado personal;Online;Alta;13/10/2022;870578372;06/11/2022;2341;82;57;191330;132664
C7844;África;Lesotho;Snacks;Offline;Media;03/11/2021;784411656;29/11/2021;3695;153;97;563783;360041
C1559;Asia;Turkmenistan;Doméstico;Offline;Crítica;10/10/2020;155918586;07/11/2020;8629;668;503;5766502;4336418
C9367;África;Saudi Arabia;Cosméticos;Offline;Crítica;07/11/2020;936710488;08/12/2020;2304;437;263;1007309;606712
C6487;Asia;Japan;Snacks;Online;Media;24/04/2022;648711192;16/05/2022;6912;153;97;1054633;673505
C9341;Europa;Latvia;Doméstico;Online;Crítica;01/02/2020;934157025;03/02/2020;6678;668;503;4462707;3355962
C8055;Norteamérica;Greenland;Ropa;Online;Crítica;11/05/2022;805596816;23/05/2022;2855;109;36;311994;102323
C6958;Centroamérica y Caribe;Costa Rica;Cereales;Online;Alta;30/07/2020;695891892;03/08/2020;8730;206;117;1795761;1022370
C2082;Asia;Japan;Cuidado personal;Offline;Baja;24/04/2022;208216083;13/05/2022;4621;82;57;377674;261872
C3660;Europa;Cyprus;Cereales;Offline;Crítica;25/03/2021;366055715;05/04/2021;2875;206;117;591388;336691
C4632;África;Pakistan;Cárnicos;Online;Baja;03/06/2021;463209617;27/06/2021;2874;422;365;1212512;1048119
C3137;Europa;Monaco;Cosméticos;Online;Media;25/08/2021;313789117;07/09/2021;6028;437;263;2635442;1587353
C7022;Asia;China;Cereales;Offline;Crítica;06/07/2022;702218043;29/07/2022;779;206;117;160240;91229
C2332;Australia y Oceanía;New Zealand;Cárnicos;Online;Alta;26/02/2022;233232724;08/03/2022;7601;422;365;3206786;2772009
C2818;Centroamérica y Caribe;Guatemala;Alimento infantil;Offline;Baja;20/07/2020;281881988;11/08/2020;3999;255;159;1020865;637521
C9435;África;Libya;Snacks;Online;Media;06/12/2020;943527162;22/12/2020;9509;153;97;1450883;926557
C5838;Europa;Liechtenstein;Cárnicos;Offline;Media;24/08/2022;583842074;04/10/2022;699;422;365;294901;254918
C7888;África;Democratic Republic of the Congo;Alimento infantil;Online;Alta;03/08/2022;788813054;09/08/2022;6167;255;159;1574312;983143
C5147;Asia;Mongolia;Cuidado personal;Online;Crítica;04/05/2022;514738929;16/05/2022;1543;82;57;126109;87442
C1382;Europa;Bosnia and Herzegovina;Frutas;Offline;Media;07/01/2021;138231027;28/01/2021;4487;9;7;41864;31050
C1062;Centroamérica y Caribe;Cuba;Cereales;Online;Crítica;13/06/2022;106213176;15/07/2022;9694;206;117;1994056;1135264
C4859;Asia;Bhutan;Snacks;Offline;Media;06/04/2022;485921704;15/04/2022;3885;153;97;592773;378554
C5149;Asia;Laos;Material de oficina;Online;Alta;18/10/2020;514905440;22/10/2020;817;651;525;532039;428892
C8510;Asia;Turkmenistan;Cuidado personal;Online;Baja;23/08/2021;851025712;27/09/2021;6275;82;57;512856;355604
C4224;Australia y Oceanía;Papua New Guinea;Alimento infantil;Offline;Baja;24/08/2021;422456347;26/08/2021;3076;255;159;785241;490376
C4776;África;Qatar;Cosméticos;Offline;Alta;29/11/2020;477683675;23/12/2020;6069;437;263;2653367;1598150
C5355;Australia y Oceanía;Palau;Ropa;Online;Baja;19/05/2021;535506522;25/05/2021;7135;109;36;779713;255718
C6350;Asia;Philippines;Cereales;Online;Baja;15/07/2022;635036218;31/07/2022;184;206;117;37849;21548
C8856;Australia y Oceanía;Papua New Guinea;Cárnicos;Offline;Baja;31/10/2022;885696589;11/11/2022;6158;422;365;2597999;2245761
C1172;África;Liberia;Verduras;Offline;Baja;14/02/2021;117223966;25/02/2021;8031;154;91;1237256;730259
C8296;África;Iran;Ropa;Offline;Alta;16/12/2020;829667174;09/01/2021;5809;109;36;634808;208195
C6433;Centroamérica y Caribe;Guatemala;Bebida;Offline;Crítica;28/07/2020;643387544;20/08/2020;1527;47;32;72456;48543
C8490;Australia y Oceanía;Tuvalu;Snacks;Offline;Baja;09/01/2020;849058902;25/01/2020;4252;153;97;648770;414315
C5576;Asia;Philippines;Material de oficina;Offline;Baja;19/08/2022;557667577;15/09/2022;5083;651;525;3310100;2668372
C7505;Asia;Singapore;Ropa;Offline;Crítica;15/02/2022;750512397;04/03/2022;2151;109;36;235061;77092
C2292;Asia;Laos;Verduras;Online;Media;13/03/2021;229204690;25/03/2021;5616;154;91;865201;510663
C5656;Europa;Montenegro;Frutas;Offline;Alta;10/07/2021;565668284;03/08/2021;2671;9;7;24920;18483
C2521;Centroamérica y Caribe;Barbados;Snacks;Offline;Media;23/04/2022;252139508;23/05/2022;2538;153;97;387248;247303
C5511;África;Egypt;Snacks;Offline;Alta;01/10/2021;551167190;13/11/2021;1474;153;97;224903;143627
C5456;África;Sudan;Doméstico;Offline;Crítica;16/04/2021;545612657;29/05/2021;7765;668;503;5189117;3902223
C2886;África;Democratic Republic of the Congo;Snacks;Offline;Baja;07/05/2021;288649737;20/06/2021;6727;153;97;1026406;655479
C3537;Centroamérica y Caribe;Cuba;Cuidado personal;Online;Baja;30/09/2022;353764760;27/10/2022;5709;82;57;466597;323529
C4847;África;Ghana;Frutas;Offline;Media;05/06/2022;484756553;14/06/2022;9091;9;7;84819;62910
C9457;Europa;Poland;Bebida;Online;Media;30/07/2020;945736443;20/08/2020;3285;47;32;155873;104430
C2711;África;Saudi Arabia;Bebida;Offline;Baja;02/02/2022;271128261;07/03/2022;1732;47;32;82183;55060
C2156;Centroamérica y Caribe;Barbados;Alimento infantil;Offline;Baja;26/10/2020;215668332;21/11/2020;9907;255;159;2529059;1579374
C8044;Europa;Bosnia and Herzegovina;Frutas;Online;Alta;09/01/2021;804405486;01/02/2021;314;9;7;2930;2173
C7827;África;Lebanon;Cárnicos;Online;Media;26/08/2021;782701051;01/09/2021;7489;422;365;3159534;2731163
C7662;Europa;Latvia;Doméstico;Offline;Crítica;15/08/2020;766228854;03/10/2020;3000;668;503;2004810;1507620
C9909;Australia y Oceanía;Australia;Frutas;Online;Media;21/12/2021;990975224;27/01/2022;445;9;7;4152;3079
C8632;África;Jordan;Cereales;Online;Media;20/02/2020;863238990;03/04/2020;455;206;117;93594;53285
C3096;Europa;United Kingdom;Cuidado personal;Offline;Media;22/05/2021;309631478;27/05/2021;5690;82;57;465044;322452
C2270;Centroamérica y Caribe;Haiti;Verduras;Offline;Baja;24/05/2022;227076518;13/07/2022;5843;154;91;900173;531304
C2328;Asia;South Korea;Cuidado personal;Online;Crítica;23/03/2020;232810437;06/04/2020;2637;82;57;215522;149439
C9143;África;Niger;Bebida;Online;Crítica;10/05/2022;914382064;06/06/2022;4827;47;32;229041;153450
C6796;África;Mozambique;Verduras;Online;Crítica;17/05/2022;679652726;13/06/2022;3200;154;91;492992;290976
C7067;Europa;Armenia;Cereales;Online;Baja;02/06/2021;706796252;16/07/2021;5572;206;117;1146160;652537
C8942;Europa;Iceland;Frutas;Online;Media;08/01/2021;894298970;26/01/2021;1793;9;7;16729;12408
C3109;Centroamérica y Caribe;Panama;Bebida;Online;Baja;10/09/2021;310959708;12/10/2021;8743;47;32;414855;277940
C3458;Europa;Switzerland;Bebida;Offline;Baja;27/06/2021;345889794;25/07/2021;5331;47;32;252956;169472
C6585;África;Mauritius ;Frutas;Online;Alta;15/04/2020;658513057;23/05/2020;7502;9;7;69994;51914
C5285;Europa;Andorra;Material de oficina;Online;Media;28/03/2021;528565824;03/04/2021;3228;651;525;2102106;1694571
C2060;Asia;Bangladesh;Material de oficina;Online;Alta;28/09/2020;206096923;15/10/2020;7514;651;525;4893192;3944549
C4614;Australia y Oceanía;Tonga;Ropa;Online;Baja;25/04/2021;461467683;11/05/2021;7397;109;36;808344;265108
C3353;Centroamérica y Caribe;Jamaica;Bebida;Online;Alta;04/08/2021;335351932;13/09/2021;6944;47;32;329493;220750
C2887;África;Israel;Verduras;Online;Media;10/08/2020;288735997;14/09/2020;2253;154;91;347097;204865
C8529;Europa;France;Cuidado personal;Offline;Crítica;03/02/2022;852918708;14/03/2022;6454;82;57;527485;365748
C3795;África;Benin;Snacks;Offline;Crítica;03/08/2021;379511392;03/08/2021;4709;153;97;718499;458845
C8904;Asia;Philippines;Verduras;Offline;Media;16/03/2022;890437877;24/03/2022;9210;154;91;1418893;837465
C4279;Europa;Slovakia;Frutas;Offline;Alta;21/09/2021;427934491;04/10/2021;4180;9;7;38999;28926
C7045;Asia;Laos;Doméstico;Offline;Alta;13/08/2022;704550063;18/08/2022;875;668;503;584736;439723
C3531;Australia y Oceanía;Nauru;Cárnicos;Online;Crítica;16/01/2022;353145921;23/02/2022;2580;422;365;1088476;940900
C7768;África;Benin;Snacks;Online;Media;09/11/2021;776895892;09/11/2021;9614;153;97;1466904;936788
C2992;Centroamérica y Caribe;Guatemala;Verduras;Online;Crítica;14/06/2021;299286305;03/08/2021;4323;154;91;666001;393090
C9141;Centroamérica y Caribe;Belize;Snacks;Online;Alta;17/01/2022;914115989;12/02/2022;6090;153;97;929212;593410
C6354;África;Tunisia ;Alimento infantil;Offline;Crítica;30/05/2022;635496270;05/07/2022;6323;255;159;1614135;1008013
C2478;África;Republic of the Congo;Cárnicos;Offline;Alta;13/04/2020;247850978;08/05/2020;3467;422;365;1462693;1264380
C1559;Australia y Oceanía;Kiribati;Ropa;Offline;Baja;21/05/2022;155916440;10/07/2022;7994;109;36;873584;286505
C8347;Europa;Albania;Verduras;Offline;Baja;11/02/2020;834741485;17/02/2020;7410;154;91;1141585;673791
C5796;Australia y Oceanía;Palau;Cárnicos;Online;Baja;02/06/2022;579687440;05/06/2022;1250;422;365;527363;455863
C4564;África;Angola;Cuidado personal;Online;Alta;27/01/2020;456428134;06/03/2020;6083;82;57;497164;344724
C2509;África;Swaziland;Snacks;Offline;Media;27/05/2021;250949895;19/06/2021;505;153;97;77053;49207
C7195;Centroamérica y Caribe;Barbados;Verduras;Online;Baja;09/04/2022;719551551;14/04/2022;149;154;91;22955;13549
C4388;Europa;Sweden;Cosméticos;Online;Crítica;20/10/2021;438844430;07/12/2021;2674;437;263;1169073;704144
C7557;África;Zambia;Verduras;Online;Crítica;15/12/2020;755752360;03/02/2021;2773;154;91;427208;252149
C8375;África;Sierra Leone;Ropa;Online;Crítica;01/02/2021;837511670;28/02/2021;7169;109;36;783428;256937
C8216;África;Sierra Leone;Cosméticos;Offline;Media;12/07/2022;821671187;11/08/2022;9619;437;263;4205427;2532971
C4660;Europa;Andorra;Verduras;Online;Media;17/04/2020;466092240;13/05/2020;5906;154;91;909878;537033
C4989;África;Seychelles ;Alimento infantil;Offline;Media;31/08/2022;498948657;16/09/2022;8850;255;159;2259228;1410867
C3687;Europa;Andorra;Doméstico;Online;Baja;05/03/2021;368726766;24/03/2021;3299;668;503;2204623;1657879
C4942;Centroamérica y Caribe;Costa Rica;Bebida;Offline;Baja;15/08/2020;494225394;24/09/2020;1132;47;32;53713;35986
C9145;África;Burundi;Cosméticos;Offline;Baja;25/06/2020;914555871;11/08/2020;6261;437;263;2737309;1648709
C8391;Australia y Oceanía;Fiji;Ropa;Online;Media;28/01/2022;839142024;15/03/2022;9627;109;36;1052039;345032
C8977;Norteamérica;Canada;Bebida;Online;Media;26/05/2021;897720181;02/06/2021;4206;47;32;199575;133709
C8903;Asia;Philippines;Bebida;Offline;Crítica;30/12/2021;890339171;09/02/2022;1;47;32;47;32
C2373;Asia;Turkmenistan;Snacks;Offline;Baja;07/02/2022;237360322;24/02/2022;9049;153;97;1380696;881735
